Produkttransaktioner;;;;;;;;;;;;;;;;
Ordernr;External Customer no.;Kundnamn;Fakt.nr;Fakturadatum;Redovisn. år/period;Produktnr;Er ref.;Benämning;Antal;Märke;Trans.upplysn. 1;Invoice Reference (R7);Order category;Belopp;ISO-kod;Belopp (SEK)
4441;2948;SGS Analytics Sweden AB;12003152;5/20/2025;2025/5;Fritext;Linda Hjärtström;SE-25-0300;1;;;;0;0.00;SEK;0.00
4441;2948;SGS Analytics Sweden AB;12003152;5/20/2025;2025/5;PP001;Linda Hjärtström;DNA-preparation - bulk 1;1;;;;0;1190.00;SEK;1190.00
4441;2948;SGS Analytics Sweden AB;12003152;5/20/2025;2025/5;QLB01;Linda Hjärtström;Qualitative test - AA;1;;;;0;220.00;SEK;220.00
4441;2948;SGS Analytics Sweden AB;12003152;5/20/2025;2025/5;Fritext;Linda Hjärtström;SE-25-0303;1;;;;0;0.00;SEK;0.00
4441;2948;SGS Analytics Sweden AB;12003152;5/20/2025;2025/5;PP001;Linda Hjärtström;DNA-preparation - bulk 1;3;;;;0;3570.00;SEK;3570.00
4441;2948;SGS Analytics Sweden AB;12003152;5/20/2025;2025/5;QLB01;Linda Hjärtström;Qualitative test - AA;3;;;;0;660.00;SEK;660.00
4441;2948;SGS Analytics Sweden AB;12003152;5/20/2025;2025/5;Fritext;Linda Hjärtström;SE-25-0312;1;;;;0;0.00;SEK;0.00
4441;2948;SGS Analytics Sweden AB;12003152;5/20/2025;2025/5;PP001;Linda Hjärtström;DNA-preparation - bulk 1;3;;;;0;3570.00;SEK;3570.00
4441;2948;SGS Analytics Sweden AB;12003152;5/20/2025;2025/5;QLB01;Linda Hjärtström;Qualitative test - AA;3;;;;0;660.00;SEK;660.00
4441;2948;SGS Analytics Sweden AB;12003152;5/20/2025;2025/5;Fritext;Linda Hjärtström;SE-25-0319;1;;;;0;0.00;SEK;0.00
4441;2948;SGS Analytics Sweden AB;12003152;5/20/2025;2025/5;PP001;Linda Hjärtström;DNA-preparation - bulk 1;1;;;;0;1190.00;SEK;1190.00
4441;2948;SGS Analytics Sweden AB;12003152;5/20/2025;2025/5;QLB01;Linda Hjärtström;Qualitative test - AA;1;;;;0;220.00;SEK;220.00
4441;2948;SGS Analytics Sweden AB;12003152;5/20/2025;2025/5;Fritext;Linda Hjärtström;SE-25-0329;1;;;;0;0.00;SEK;0.00
4441;2948;SGS Analytics Sweden AB;12003152;5/20/2025;2025/5;PP001;Linda Hjärtström;DNA-preparation - bulk 1;3;;;;0;3570.00;SEK;3570.00
4441;2948;SGS Analytics Sweden AB;12003152;5/20/2025;2025/5;QLB01;Linda Hjärtström;Qualitative test - AA;4;;;;0;880.00;SEK;880.00
4441;2948;SGS Analytics Sweden AB;12003152;5/20/2025;2025/5;Fritext;Linda Hjärtström;SE-25-0352;1;;;;0;0.00;SEK;0.00
4441;2948;SGS Analytics Sweden AB;12003152;5/20/2025;2025/5;PP001;Linda Hjärtström;DNA-preparation - bulk 1;3;;;;0;3570.00;SEK;3570.00
4441;2948;SGS Analytics Sweden AB;12003152;5/20/2025;2025/5;QLB01;Linda Hjärtström;Qualitative test - AA;3;;;;0;660.00;SEK;660.00
4441;2948;SGS Analytics Sweden AB;12003152;5/20/2025;2025/5;Fritext;Linda Hjärtström;SE-25-0357;1;;;;0;0.00;SEK;0.00
4441;2948;SGS Analytics Sweden AB;12003152;5/20/2025;2025/5;PP001;Linda Hjärtström;DNA-preparation - bulk 1;2;;;;0;2380.00;SEK;2380.00
4441;2948;SGS Analytics Sweden AB;12003152;5/20/2025;2025/5;QLB03;Linda Hjärtström;Qualitative test - GM;8;;;;0;880.00;SEK;880.00
4441;2948;SGS Analytics Sweden AB;12003152;5/20/2025;2025/5;Fritext;Linda Hjärtström;SE-25-0381;1;;;;0;0.00;SEK;0.00
4441;2948;SGS Analytics Sweden AB;12003152;5/20/2025;2025/5;PP001;Linda Hjärtström;DNA-preparation - bulk 1;2;;;;0;2380.00;SEK;2380.00
4441;2948;SGS Analytics Sweden AB;12003152;5/20/2025;2025/5;QLB01;Linda Hjärtström;Qualitative test - AA;2;;;;0;440.00;SEK;440.00
4447;2948;SGS Analytics Sweden AB;12003150;5/20/2025;2025/5;Fritext;Linda Hjärtström;SE-25-0335;1;;;;0;0.00;SEK;0.00
